group,component,stratum,N,n,k,point,lower,upper,definition,inference_scope
Core EC conferences,historical_human_hits,dl_native,72,33,33,72.0,62,72,DL-native plus substantive hybrid,"sensitivity definition; separate 24-cell family, not joint with narrow definition"
Core EC conferences,historical_human_hits,neuroevolution,110,4,1,27.5,1,101,DL-native plus substantive hybrid,"sensitivity definition; separate 24-cell family, not joint with narrow definition"
Core EC conferences,historical_human_hits,hybrid,235,7,6,201.42857142857142,59,234,DL-native plus substantive hybrid,"sensitivity definition; separate 24-cell family, not joint with narrow definition"
Core EC conferences,historical_human_hits,other,58,4,1,14.5,1,53,DL-native plus substantive hybrid,"sensitivity definition; separate 24-cell family, not joint with narrow definition"
Core EC conferences,new_human_nonhits,enriched,332,50,17,112.88,57,182,DL-native plus substantive hybrid,"sensitivity definition; separate 24-cell family, not joint with narrow definition"
Core EC conferences,new_human_nonhits,ordinary,3953,150,13,342.5933333333333,129,702,DL-native plus substantive hybrid,"sensitivity definition; separate 24-cell family, not joint with narrow definition"
Core EC journals,historical_human_hits,dl_native,86,46,45,84.1304347826087,75,85,DL-native plus substantive hybrid,"sensitivity definition; separate 24-cell family, not joint with narrow definition"
Core EC journals,historical_human_hits,neuroevolution,49,9,0,0.0,0,23,DL-native plus substantive hybrid,"sensitivity definition; separate 24-cell family, not joint with narrow definition"
Core EC journals,historical_human_hits,hybrid,86,7,6,73.71428571428571,23,85,DL-native plus substantive hybrid,"sensitivity definition; separate 24-cell family, not joint with narrow definition"
Core EC journals,historical_human_hits,other,40,8,3,15.0,3,33,DL-native plus substantive hybrid,"sensitivity definition; separate 24-cell family, not joint with narrow definition"
Core EC journals,new_human_nonhits,enriched,194,50,28,108.64,72,143,DL-native plus substantive hybrid,"sensitivity definition; separate 24-cell family, not joint with narrow definition"
Core EC journals,new_human_nonhits,ordinary,2716,150,12,217.28,79,457,DL-native plus substantive hybrid,"sensitivity definition; separate 24-cell family, not joint with narrow definition"
Mixed journals,historical_human_hits,dl_native,5193,40,40,5193.0,4377,5193,DL-native plus substantive hybrid,"sensitivity definition; separate 24-cell family, not joint with narrow definition"
Mixed journals,historical_human_hits,neuroevolution,106,8,0,0.0,0,59,DL-native plus substantive hybrid,"sensitivity definition; separate 24-cell family, not joint with narrow definition"
Mixed journals,historical_human_hits,hybrid,483,7,5,345.0,72,479,DL-native plus substantive hybrid,"sensitivity definition; separate 24-cell family, not joint with narrow definition"
Mixed journals,historical_human_hits,other,525,6,0,0.0,0,356,DL-native plus substantive hybrid,"sensitivity definition; separate 24-cell family, not joint with narrow definition"
Mixed journals,new_human_nonhits,enriched,2156,50,44,1897.28,1474,2103,DL-native plus substantive hybrid,"sensitivity definition; separate 24-cell family, not joint with narrow definition"
Mixed journals,new_human_nonhits,ordinary,18089,150,36,4341.36,2589,6516,DL-native plus substantive hybrid,"sensitivity definition; separate 24-cell family, not joint with narrow definition"
SSCI (mixed conf.),historical_human_hits,dl_native,160,17,17,160.0,110,160,DL-native plus substantive hybrid,"sensitivity definition; separate 24-cell family, not joint with narrow definition"
SSCI (mixed conf.),historical_human_hits,neuroevolution,8,3,0,0.0,0,5,DL-native plus substantive hybrid,"sensitivity definition; separate 24-cell family, not joint with narrow definition"
SSCI (mixed conf.),historical_human_hits,hybrid,9,4,4,9.0,4,9,DL-native plus substantive hybrid,"sensitivity definition; separate 24-cell family, not joint with narrow definition"
SSCI (mixed conf.),historical_human_hits,other,12,3,0,0.0,0,9,DL-native plus substantive hybrid,"sensitivity definition; separate 24-cell family, not joint with narrow definition"
SSCI (mixed conf.),new_human_nonhits,enriched,88,50,43,75.68,64,81,DL-native plus substantive hybrid,"sensitivity definition; separate 24-cell family, not joint with narrow definition"
SSCI (mixed conf.),new_human_nonhits,ordinary,605,150,31,125.03333333333333,78,186,DL-native plus substantive hybrid,"sensitivity definition; separate 24-cell family, not joint with narrow definition"
